menuID,name,cost,salesNum,image_url
1,Classic Milk Tea,4.88,8879,https://th.bing.com/th/id/OIP.8xXkdh0DnYN3x8m6aZJHpgHaLH?w=127&h=190&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3
2,Taro Milk Tea,6.86,8811,https://theoregondietitian.com/wp-content/uploads/2022/04/TaroMilkTea-1200-x-1200.jpg
3,Matcha Milk Tea,6.93,9041,https://bestrecipesite.com/wp-content/uploads/2025/12/3-7.png
4,Thai Milk Tea,5.84,8961,https://thai-foodie.com/wp-content/uploads/2024/09/thai-milk-tea.jpg
5,Honeydew Milk Tea,6.85,8901,https://i.pinimg.com/originals/2e/17/2a/2e172a821300507745936d8765011cd8.jpg
6,Brown Sugar Milk Tea,6.73,8951,https://www.alaynarecipes.com/wp-content/uploads/2025/12/x3by70tpodgucng1a1ik.webp
7,Strawberry Milk Tea,4.71,9019,https://wellbeingbarista.com/wp-content/uploads/2023/09/strawberry_milk_tea.jpg
8,Mango Milk Tea,5.63,8774,https://theoregondietitian.com/wp-content/uploads/2025/03/MangoMilkTea5-1200x1800-1-1024x1536.jpg
9,Oolong Milk Tea,6.88,8828,https://ohsweetcups.com/wp-content/uploads/2023/06/627hookok-2.webp
10,Wintermelon Tea,6.47,8763,https://homecozymagic.com/wp-content/uploads/2025/10/xcw73qpkz9tsteq03exy.webp
11,Passionfruit Tea,5.82,8746,https://lastminrecipes.com/assets/images/1738869965154-bwcfgpxf.webp
12,Lychee Tea,5.44,8911,https://hongthaimee.com/wp-content/uploads/2025/03/Lychee-Thai-Iced-Tea.png
13,Peach Green Tea,4.66,8756,https://nutritiontofit.com/wp-content/uploads/2016/07/Peachy-Mint-Iced-Green-Tea.jpg
14,Coconut Milk Tea,6.18,8768,https://img.freepik.com/premium-photo/photo-coconut-milk-tea-milky-tea-infused-with-coconut-flavor-toppe-front-view-clean-bg_655090-971803.jpg
15,Almond Milk Tea,4.66,8787,https://balancewithjess.com/wp-content/uploads/2022/07/Almond-Milk-Tea-Feat.jpg
16,Coffee Milk Tea,6.33,8766,https://tse1.mm.bing.net/th/id/OIP.8T7RoLDe7hAOnBqx4LDfhAHaJQ?rs=1&pid=ImgDetMain&o=7&rm=3
17,Red Bean Milk Tea,4.73,8809,https://tse4.mm.bing.net/th/id/OIP.I5ek2jfGjLwdhhH2VmBbWwHaHa?rs=1&pid=ImgDetMain&o=7&rm=3
18,Pineapple Tea,5.06,8697,https://bakewithshivesh.com/wp-content/uploads/2022/05/IMG-9753-scaled.jpg
19,Guava Green Tea,7.13,8774,https://static.vecteezy.com/system/resources/previews/055/450/992/large_2x/refreshing-green-bubble-tea-featuring-chewy-tapioca-pearls-on-a-bright-white-background-green-bubble-tea-isolated-on-white-background-free-png.png
20,Caramel Milk Tea,5.17,8843,https://foodsguy.com/wp-content/uploads/2022/04/pexels-kim-cruz-4071422-scaled.jpg
